Configuration,Sampler,Dataset,Full Dataset,Method,Conditional,Time (seconds),BPD,FID,Inception
ve,euler-maruyama,mnist,yes,generate,yes,4.4,1.05894,178.36807,1.14765
ve,exponential,mnist,yes,generate,yes,3.94,1.05894,209.29418,1.22352
ve,ode,mnist,yes,generate,yes,3.63,1.23723,191.95969,1.00332
ve,predictor-corrector,mnist,yes,generate,yes,7.83,1.0326,186.65867,1.12985
ve,euler-maruyama,mnist,yes,generate,no,2.01,1.05894,136.60354,1.44729
ve,exponential,mnist,yes,generate,no,2.09,1.05894,148.38107,1.35878
ve,ode,mnist,yes,generate,no,1.94,1.23723,292.27062,1.00617
ve,predictor-corrector,mnist,yes,generate,no,4.31,1.0326,137.85363,1.27803
ve,euler-maruyama,mnist,yes,imputation,yes,3.64,1.05894,286.74578,1.55484
ve,exponential,mnist,yes,imputation,yes,3.69,1.05894,240.49838,1.40251
ve,ode,mnist,yes,imputation,yes,3.64,1.23723,244.93267,1.30788
ve,predictor-corrector,mnist,yes,imputation,yes,24.0,1.0326,298.18208,1.30421
ve,euler-maruyama,mnist,yes,imputation,no,6.42,1.05894,306.10232,1.36292
ve,exponential,mnist,yes,imputation,no,6.57,1.05894,248.05114,1.38777
ve,ode,mnist,yes,imputation,no,5.88,1.23723,225.67548,1.40655
ve,predictor-corrector,mnist,yes,imputation,no,13.73,1.0326,317.28612,1.4318
ve,euler-maruyama,cifar10,yes,generate,yes,3.64,0.04346,233.69821,1.40673
ve,exponential,cifar10,yes,generate,yes,3.87,0.04346,282.05748,1.46733
ve,ode,cifar10,yes,generate,yes,3.68,0.05131,408.33656,1.00045
ve,predictor-corrector,cifar10,yes,generate,yes,7.57,0.04195,222.08054,1.40017
ve,euler-maruyama,cifar10,yes,generate,no,2.09,0.04346,240.34489,1.26761
ve,exponential,cifar10,yes,generate,no,2.04,0.04346,250.2414,1.30601
ve,ode,cifar10,yes,generate,no,1.97,0.05131,430.69558,1.00006
ve,predictor-corrector,cifar10,yes,generate,no,4.19,0.04195,239.60384,1.24994
ve,euler-maruyama,cifar10,yes,colorize,yes,4.03,0.04346,193.38832,1.39232
ve,exponential,cifar10,yes,colorize,yes,4.38,0.04346,192.45786,1.39051
ve,ode,cifar10,yes,colorize,yes,4.1,0.05131,175.30922,1.52886
ve,predictor-corrector,cifar10,yes,colorize,yes,8.14,0.04195,197.24849,1.44014
ve,euler-maruyama,cifar10,yes,colorize,no,2.35,0.04346,194.94775,1.39323
ve,exponential,cifar10,yes,colorize,no,2.55,0.04346,194.19312,1.39144
ve,ode,cifar10,yes,colorize,no,2.39,0.05131,173.75913,1.52193
ve,predictor-corrector,cifar10,yes,colorize,no,4.75,0.04195,198.09016,1.42032
ve,euler-maruyama,cifar10,yes,imputation,yes,3.99,0.04346,160.77599,1.57971
ve,exponential,cifar10,yes,imputation,yes,3.89,0.04346,175.11949,1.59288
ve,ode,cifar10,yes,imputation,yes,3.56,0.05131,163.86393,1.5555
ve,predictor-corrector,cifar10,yes,imputation,yes,7.83,0.04195,158.74365,1.56664
ve,euler-maruyama,cifar10,yes,imputation,no,2.99,0.04346,153.83673,1.55757
ve,exponential,cifar10,yes,imputation,no,3.01,0.04346,160.92917,1.56586
ve,ode,cifar10,yes,imputation,no,2.83,0.05131,164.92148,1.56631
ve,predictor-corrector,cifar10,yes,imputation,no,6.08,0.04195,155.51402,1.60345
vp-lin,euler-maruyama,mnist,yes,generate,yes,4.6,1.33898,157.32195,1.20002
vp-lin,exponential,mnist,yes,generate,yes,4.69,1.33898,144.31418,1.19216
vp-lin,ode,mnist,yes,generate,yes,4.36,1.84753,220.68504,1.00017
vp-lin,predictor-corrector,mnist,yes,generate,yes,9.3,1.34769,158.15242,1.14223
vp-lin,euler-maruyama,mnist,yes,generate,no,2.63,1.33898,108.8496,1.36853
vp-lin,exponential,mnist,yes,generate,no,2.71,1.33898,126.03465,1.41152
vp-lin,ode,mnist,yes,generate,no,3.38,1.84753,292.41703,1.03043
vp-lin,predictor-corrector,mnist,yes,generate,no,5.88,1.34769,112.78947,1.31432
vp-lin,euler-maruyama,mnist,yes,imputation,yes,4.83,1.33898,173.28218,1.33646
vp-lin,exponential,mnist,yes,imputation,yes,4.85,1.33898,180.36778,1.34016
vp-lin,ode,mnist,yes,imputation,yes,4.59,1.84753,155.21344,1.31166
vp-lin,predictor-corrector,mnist,yes,imputation,yes,9.39,1.34769,178.94586,1.29256
vp-lin,euler-maruyama,mnist,yes,imputation,no,1.95,1.33898,199.30597,1.44394
vp-lin,exponential,mnist,yes,imputation,no,1.94,1.33898,220.04604,1.49458
vp-lin,ode,mnist,yes,imputation,no,1.8,1.84753,178.60626,1.44255
vp-lin,predictor-corrector,mnist,yes,imputation,no,3.86,1.34769,208.36679,1.40854
vp-lin,euler-maruyama,cifar10,yes,generate,yes,3.24,0.04441,249.48396,1.48121
vp-lin,exponential,cifar10,yes,generate,yes,3.28,0.04441,237.09172,1.34443
vp-lin,ode,cifar10,yes,generate,yes,3.39,0.06073,425.11892,1.01896
vp-lin,predictor-corrector,cifar10,yes,generate,yes,7.3,0.04392,244.38741,1.51985
vp-lin,euler-maruyama,cifar10,yes,generate,no,1.84,0.04441,215.4853,1.40876
vp-lin,exponential,cifar10,yes,generate,no,1.99,0.04441,283.68343,1.05965
vp-lin,ode,cifar10,yes,generate,no,1.88,0.06073,399.75171,1.02461
vp-lin,predictor-corrector,cifar10,yes,generate,no,3.82,0.04392,208.4664,1.42302
vp-lin,euler-maruyama,cifar10,yes,colorize,yes,3.63,0.04441,163.83663,1.51802
vp-lin,exponential,cifar10,yes,colorize,yes,3.62,0.04441,163.4328,1.51781
vp-lin,ode,cifar10,yes,colorize,yes,3.6,0.06073,167.18517,1.47428
vp-lin,predictor-corrector,cifar10,yes,colorize,yes,7.18,0.04392,169.84598,1.55492
vp-lin,euler-maruyama,cifar10,yes,colorize,no,2.25,0.04441,165.6309,1.51938
vp-lin,exponential,cifar10,yes,colorize,no,2.5,0.04441,165.1915,1.51944
vp-lin,ode,cifar10,yes,colorize,no,2.17,0.06073,169.11349,1.51927
vp-lin,predictor-corrector,cifar10,yes,colorize,no,4.34,0.04392,170.99656,1.5548
vp-lin,euler-maruyama,cifar10,yes,imputation,yes,3.24,0.04441,201.2792,1.68167
vp-lin,exponential,cifar10,yes,imputation,yes,3.35,0.04441,157.22254,1.51202
vp-lin,ode,cifar10,yes,imputation,yes,3.26,0.06073,195.84693,1.57683
vp-lin,predictor-corrector,cifar10,yes,imputation,yes,7.12,0.04392,184.93121,1.65653
vp-lin,euler-maruyama,cifar10,yes,imputation,no,1.96,0.04441,188.08764,1.69547
vp-lin,exponential,cifar10,yes,imputation,no,1.89,0.04441,157.51626,1.57896
vp-lin,ode,cifar10,yes,imputation,no,1.83,0.06073,194.99788,1.58335
vp-lin,predictor-corrector,cifar10,yes,imputation,no,4.1,0.04392,182.24169,1.5902
vp-cos,euler-maruyama,mnist,yes,generate,yes,3.51,5.3626,148.53555,1.15523
vp-cos,exponential,mnist,yes,generate,yes,3.84,5.3626,152.49224,1.14766
vp-cos,ode,mnist,yes,generate,yes,3.66,6.27654,199.76254,1.00734
vp-cos,predictor-corrector,mnist,yes,generate,yes,7.59,5.22634,145.80751,1.16325
vp-cos,euler-maruyama,mnist,yes,generate,no,2.02,5.3626,105.72936,1.42817
vp-cos,exponential,mnist,yes,generate,no,2.12,5.3626,121.87568,1.35324
vp-cos,ode,mnist,yes,generate,no,2.03,6.27654,267.72031,1.07607
vp-cos,predictor-corrector,mnist,yes,generate,no,4.24,5.22634,111.33486,1.31468
vp-cos,euler-maruyama,mnist,yes,imputation,yes,3.63,5.3626,335.67973,1.38396
vp-cos,exponential,mnist,yes,imputation,yes,3.7,5.3626,314.72842,1.36174
vp-cos,ode,mnist,yes,imputation,yes,3.48,6.27654,332.08251,1.25489
vp-cos,predictor-corrector,mnist,yes,imputation,yes,7.58,5.22634,329.66966,1.35923
vp-cos,euler-maruyama,mnist,yes,imputation,no,2.22,5.3626,360.10781,1.3991
vp-cos,exponential,mnist,yes,imputation,no,2.42,5.3626,347.5686,1.39942
vp-cos,ode,mnist,yes,imputation,no,1.93,6.27654,379.45309,1.30077
vp-cos,predictor-corrector,mnist,yes,imputation,no,4.21,5.22634,353.28505,1.32535
vp-cos,euler-maruyama,cifar10,yes,generate,yes,3.52,0.08328,241.40572,1.51461
vp-cos,exponential,cifar10,yes,generate,yes,3.7,0.08328,233.54269,1.39594
vp-cos,ode,cifar10,yes,generate,yes,3.48,0.0978,416.99321,1.00747
vp-cos,predictor-corrector,cifar10,yes,generate,yes,7.43,0.0796,244.67978,1.60116
vp-cos,euler-maruyama,cifar10,yes,generate,no,2.37,0.08328,223.01626,1.42277
vp-cos,exponential,cifar10,yes,generate,no,2.38,0.08328,257.59989,1.19675
vp-cos,ode,cifar10,yes,generate,no,2.56,0.0978,407.91933,1.00414
vp-cos,predictor-corrector,cifar10,yes,generate,no,4.49,0.0796,226.84984,1.47429
vp-cos,euler-maruyama,cifar10,yes,colorize,yes,4.35,0.08328,171.91384,1.51534
vp-cos,exponential,cifar10,yes,colorize,yes,4.78,0.08328,170.58923,1.508
vp-cos,ode,cifar10,yes,colorize,yes,4.23,0.0978,166.17195,1.45098
vp-cos,predictor-corrector,cifar10,yes,colorize,yes,8.57,0.0796,174.45213,1.54554
vp-cos,euler-maruyama,cifar10,yes,colorize,no,2.61,0.08328,170.62343,1.5152
vp-cos,exponential,cifar10,yes,colorize,no,2.79,0.08328,169.36896,1.50864
vp-cos,ode,cifar10,yes,colorize,no,2.64,0.0978,165.93054,1.51494
vp-cos,predictor-corrector,cifar10,yes,colorize,no,4.92,0.0796,173.44751,1.54539
vp-cos,euler-maruyama,cifar10,yes,imputation,yes,3.87,0.08328,183.48723,1.64633
vp-cos,exponential,cifar10,yes,imputation,yes,4.08,0.08328,157.00648,1.62348
vp-cos,ode,cifar10,yes,imputation,yes,3.88,0.0978,181.98185,1.53347
vp-cos,predictor-corrector,cifar10,yes,imputation,yes,8.0,0.0796,180.22002,1.64953
vp-cos,euler-maruyama,cifar10,yes,imputation,no,2.35,0.08328,172.45171,1.65656
vp-cos,exponential,cifar10,yes,imputation,no,2.4,0.08328,144.86986,1.57286
vp-cos,ode,cifar10,yes,imputation,no,2.25,0.0978,180.98859,1.55558
vp-cos,predictor-corrector,cifar10,yes,imputation,no,4.53,0.0796,174.25455,1.62193
svp-lin,euler-maruyama,mnist,yes,generate,yes,3.52,1.35545,357.39779,1.17093
svp-lin,exponential,mnist,yes,generate,yes,3.61,1.35545,350.72603,1.13747
svp-lin,ode,mnist,yes,generate,yes,3.39,1.86377,205.53322,1.00049
svp-lin,predictor-corrector,mnist,yes,generate,yes,7.11,1.36243,360.25346,1.24423
svp-lin,euler-maruyama,mnist,yes,generate,no,2.02,1.35545,348.68091,1.29204
svp-lin,exponential,mnist,yes,generate,no,2.11,1.35545,358.08722,1.14306
svp-lin,ode,mnist,yes,generate,no,2.07,1.86377,272.59995,1.00686
svp-lin,predictor-corrector,mnist,yes,generate,no,4.3,1.36243,346.88595,1.14974
svp-lin,euler-maruyama,mnist,yes,imputation,yes,3.48,1.35545,302.87688,1.25568
svp-lin,exponential,mnist,yes,imputation,yes,3.59,1.35545,312.90162,1.23047
svp-lin,ode,mnist,yes,imputation,yes,3.56,1.86377,237.76859,1.28718
svp-lin,predictor-corrector,mnist,yes,imputation,yes,7.35,1.36243,292.22111,1.17313
svp-lin,euler-maruyama,mnist,yes,imputation,no,2.06,1.35545,285.42166,1.26392
svp-lin,exponential,mnist,yes,imputation,no,2.2,1.35545,291.5372,1.24068
svp-lin,ode,mnist,yes,imputation,no,1.94,1.86377,280.30377,1.47628
svp-lin,predictor-corrector,mnist,yes,imputation,no,4.38,1.36243,300.68877,1.21885
svp-lin,euler-maruyama,cifar10,yes,generate,yes,3.52,0.04441,307.94443,1.19258
svp-lin,exponential,cifar10,yes,generate,yes,3.55,0.04441,336.29269,1.06288
svp-lin,ode,cifar10,yes,generate,yes,3.47,0.06073,413.71498,1.06101
svp-lin,predictor-corrector,cifar10,yes,generate,yes,7.41,0.04392,316.15088,1.20716
svp-lin,euler-maruyama,cifar10,yes,generate,no,2.06,0.04441,333.77771,1.13764
svp-lin,exponential,cifar10,yes,generate,no,2.21,0.04441,366.55275,1.03948
svp-lin,ode,cifar10,yes,generate,no,1.95,0.06073,408.70884,1.05001
svp-lin,predictor-corrector,cifar10,yes,generate,no,4.25,0.04392,345.95621,1.11423
svp-lin,euler-maruyama,cifar10,yes,colorize,yes,4.54,0.04441,277.89709,1.18142
svp-lin,exponential,cifar10,yes,colorize,yes,4.05,0.04441,279.7171,1.17942
svp-lin,ode,cifar10,yes,colorize,yes,3.89,0.06073,170.87428,1.50726
svp-lin,predictor-corrector,cifar10,yes,colorize,yes,7.54,0.04392,281.37211,1.18958
svp-lin,euler-maruyama,cifar10,yes,colorize,no,2.41,0.04441,277.52058,1.18199
svp-lin,exponential,cifar10,yes,colorize,no,2.56,0.04441,279.27297,1.17989
svp-lin,ode,cifar10,yes,colorize,no,2.35,0.06073,171.02021,1.52558
svp-lin,predictor-corrector,cifar10,yes,colorize,no,4.65,0.04392,281.25097,1.19038
svp-lin,euler-maruyama,cifar10,yes,imputation,yes,3.55,0.04441,211.45094,1.53507
svp-lin,exponential,cifar10,yes,imputation,yes,3.6,0.04441,185.91142,1.41366
svp-lin,ode,cifar10,yes,imputation,yes,3.42,0.06073,196.94349,1.53988
svp-lin,predictor-corrector,cifar10,yes,imputation,yes,7.22,0.04392,221.72639,1.52492
svp-lin,euler-maruyama,cifar10,yes,imputation,no,2.04,0.04441,211.23387,1.52663
svp-lin,exponential,cifar10,yes,imputation,no,2.22,0.04441,190.24308,1.44198
svp-lin,ode,cifar10,yes,imputation,no,2.04,0.06073,200.06194,1.57343
svp-lin,predictor-corrector,cifar10,yes,imputation,no,4.19,0.04392,219.10446,1.49427
svp-cos,euler-maruyama,mnist,yes,generate,yes,4.28,4.03504,353.52829,1.15265
svp-cos,exponential,mnist,yes,generate,yes,4.3,4.03504,347.63767,1.13794
svp-cos,ode,mnist,yes,generate,yes,4.06,4.67482,192.32451,1.01635
svp-cos,predictor-corrector,mnist,yes,generate,yes,8.07,3.94138,355.83168,1.10408
svp-cos,euler-maruyama,mnist,yes,generate,no,2.42,4.03504,367.26034,1.16099
svp-cos,exponential,mnist,yes,generate,no,2.56,4.03504,351.3172,1.12776
svp-cos,ode,mnist,yes,generate,no,2.48,4.67482,260.71988,1.06583
svp-cos,predictor-corrector,mnist,yes,generate,no,4.77,3.94138,358.15753,1.16261
svp-cos,euler-maruyama,mnist,yes,imputation,yes,4.09,4.03504,305.66334,1.27119
svp-cos,exponential,mnist,yes,imputation,yes,4.24,4.03504,301.17131,1.26576
svp-cos,ode,mnist,yes,imputation,yes,4.08,4.67482,237.43448,1.33051
svp-cos,predictor-corrector,mnist,yes,imputation,yes,8.33,3.94138,303.19349,1.25293
svp-cos,euler-maruyama,mnist,yes,imputation,no,2.43,4.03504,305.26134,1.29456
svp-cos,exponential,mnist,yes,imputation,no,2.57,4.03504,297.10581,1.31001
svp-cos,ode,mnist,yes,imputation,no,2.58,4.67482,327.66256,1.43142
svp-cos,predictor-corrector,mnist,yes,imputation,no,4.66,3.94138,308.7538,1.20321
svp-cos,euler-maruyama,cifar10,yes,generate,yes,4.02,0.08272,316.09862,1.12255
svp-cos,exponential,cifar10,yes,generate,yes,4.0,0.08272,338.00697,1.06795
svp-cos,ode,cifar10,yes,generate,yes,4.06,0.09737,373.6111,1.07328
svp-cos,predictor-corrector,cifar10,yes,generate,yes,7.99,0.07941,332.13154,1.18108
svp-cos,euler-maruyama,cifar10,yes,generate,no,2.37,0.08272,345.04903,1.07698
svp-cos,exponential,cifar10,yes,generate,no,2.4,0.08272,370.55114,1.0373
svp-cos,ode,cifar10,yes,generate,no,2.32,0.09737,409.76692,1.02993
svp-cos,predictor-corrector,cifar10,yes,generate,no,4.83,0.07941,352.18827,1.11497
svp-cos,euler-maruyama,cifar10,yes,colorize,yes,4.45,0.08272,278.41142,1.20795
svp-cos,exponential,cifar10,yes,colorize,yes,4.64,0.08272,290.73867,1.19903
svp-cos,ode,cifar10,yes,colorize,yes,4.44,0.09737,182.44782,1.40284
svp-cos,predictor-corrector,cifar10,yes,colorize,yes,28.34,0.07941,276.5313,1.20791
svp-cos,euler-maruyama,cifar10,yes,colorize,no,9.15,0.08272,278.36894,1.20671
svp-cos,exponential,cifar10,yes,colorize,no,10.78,0.08272,290.78739,1.19738
svp-cos,ode,cifar10,yes,colorize,no,9.45,0.09737,176.70784,1.42964
svp-cos,predictor-corrector,cifar10,yes,colorize,no,5.27,0.07941,276.73985,1.20869
svp-cos,euler-maruyama,cifar10,yes,imputation,yes,4.18,0.08272,214.3809,1.6031
svp-cos,exponential,cifar10,yes,imputation,yes,4.14,0.08272,202.95596,1.40823
svp-cos,ode,cifar10,yes,imputation,yes,4.04,0.09737,189.0692,1.55365
svp-cos,predictor-corrector,cifar10,yes,imputation,yes,8.23,0.07941,219.59171,1.59785
svp-cos,euler-maruyama,cifar10,yes,imputation,no,2.67,0.08272,217.31251,1.60607
svp-cos,exponential,cifar10,yes,imputation,no,2.49,0.08272,201.79198,1.44224
svp-cos,ode,cifar10,yes,imputation,no,2.38,0.09737,190.00799,1.53814
svp-cos,predictor-corrector,cifar10,yes,imputation,no,4.68,0.07941,217.23505,1.58791
ve,euler-maruyama,mnist,no,generate,no,2.05,0.40551,101.93589,1.1981
ve,exponential,mnist,no,generate,no,2.3,0.40551,196.33432,1.26927
ve,ode,mnist,no,generate,no,2.1,0.4554,171.02835,1.00007
ve,predictor-corrector,mnist,no,generate,no,4.52,0.4027,103.96109,1.21243
ve,euler-maruyama,mnist,no,imputation,no,2.18,0.40551,223.5458,1.32698
ve,exponential,mnist,no,imputation,no,2.27,0.40551,177.29779,1.39038
ve,ode,mnist,no,imputation,no,2.06,0.4554,181.40004,1.30745
ve,predictor-corrector,mnist,no,imputation,no,4.51,0.4027,202.8326,1.31845
ve,euler-maruyama,cifar10,no,generate,no,2.19,0.05282,287.02581,1.30363
ve,exponential,cifar10,no,generate,no,2.27,0.05282,289.67649,1.28469
ve,ode,cifar10,no,generate,no,7.18,0.06316,440.81989,1.00057
ve,predictor-corrector,cifar10,no,generate,no,4.74,0.05449,287.38852,1.22054
ve,euler-maruyama,cifar10,no,colorize,no,2.55,0.05282,204.08084,1.41441
ve,exponential,cifar10,no,colorize,no,2.24,0.05282,204.00292,1.41578
ve,ode,cifar10,no,colorize,no,2.1,0.06316,172.75516,1.46516
ve,predictor-corrector,cifar10,no,colorize,no,4.71,0.05449,209.66034,1.42131
ve,euler-maruyama,cifar10,no,imputation,no,2.05,0.05282,164.29685,1.49473
ve,exponential,cifar10,no,imputation,no,2.09,0.05282,159.33269,1.57301
ve,ode,cifar10,no,imputation,no,2.0,0.06316,154.60939,1.64924
ve,predictor-corrector,cifar10,no,imputation,no,4.44,0.05449,169.73375,1.48448
vp-lin,euler-maruyama,mnist,no,generate,no,1.92,0.644,77.43,1.32365
vp-lin,exponential,mnist,no,generate,no,1.99,0.644,106.20166,1.29585
vp-lin,ode,mnist,no,generate,no,1.87,0.80296,119.1686,1.00001
vp-lin,predictor-corrector,mnist,no,generate,no,4.13,0.64004,77.57767,1.22118
vp-lin,euler-maruyama,mnist,no,imputation,no,1.91,0.644,318.79481,1.28631
vp-lin,exponential,mnist,no,imputation,no,2.05,0.644,331.26771,1.26352
vp-lin,ode,mnist,no,imputation,no,1.82,0.80296,254.98847,1.23627
vp-lin,predictor-corrector,mnist,no,imputation,no,3.97,0.64004,325.39971,1.24452
vp-lin,euler-maruyama,cifar10,no,generate,no,1.9,0.0538,296.5263,1.42983
vp-lin,exponential,cifar10,no,generate,no,2.03,0.0538,296.70873,1.14388
vp-lin,ode,cifar10,no,generate,no,1.73,0.0739,393.56113,1.18862
vp-lin,predictor-corrector,cifar10,no,generate,no,4.07,0.0582,321.92574,1.35311
vp-lin,euler-maruyama,cifar10,no,colorize,no,2.28,0.0538,171.96794,1.39856
vp-lin,exponential,cifar10,no,colorize,no,2.47,0.0538,172.13862,1.39768
vp-lin,ode,cifar10,no,colorize,no,2.26,0.0739,176.11269,1.40569
vp-lin,predictor-corrector,cifar10,no,colorize,no,4.53,0.0582,171.70847,1.41843
vp-lin,euler-maruyama,cifar10,no,imputation,no,2.0,0.0538,175.876,1.65549
vp-lin,exponential,cifar10,no,imputation,no,2.09,0.0538,165.56532,1.61078
vp-lin,ode,cifar10,no,imputation,no,1.9,0.0739,168.02985,1.6197
vp-lin,predictor-corrector,cifar10,no,imputation,no,3.93,0.0582,169.61881,1.55827
vp-cos,euler-maruyama,mnist,no,generate,no,2.27,2.22936,72.73251,1.24182
vp-cos,exponential,mnist,no,generate,no,2.23,2.22936,81.93957,1.20039
vp-cos,ode,mnist,no,generate,no,1.98,2.57071,170.26545,1.00542
vp-cos,predictor-corrector,mnist,no,generate,no,3.98,2.21252,72.48002,1.15582
vp-cos,euler-maruyama,mnist,no,imputation,no,1.96,2.22936,253.05775,1.3717
vp-cos,exponential,mnist,no,imputation,no,2.12,2.22936,228.12243,1.39214
vp-cos,ode,mnist,no,imputation,no,2.0,2.57071,183.46763,1.19951
vp-cos,predictor-corrector,mnist,no,imputation,no,4.85,2.21252,246.30245,1.26998
vp-cos,euler-maruyama,cifar10,no,generate,no,2.5,0.10169,243.56972,1.33851
vp-cos,exponential,cifar10,no,generate,no,7.84,0.10169,286.21079,1.2605
vp-cos,ode,cifar10,no,generate,no,7.21,0.1207,422.94539,1.0605
vp-cos,predictor-corrector,cifar10,no,generate,no,4.71,0.10343,260.8202,1.36236
vp-cos,euler-maruyama,cifar10,no,colorize,no,2.93,0.10169,174.0117,1.41551
vp-cos,exponential,cifar10,no,colorize,no,2.91,0.10169,175.06884,1.41541
vp-cos,ode,cifar10,no,colorize,no,2.86,0.1207,173.28412,1.47785
vp-cos,predictor-corrector,cifar10,no,colorize,no,4.33,0.10343,174.462,1.40442
vp-cos,euler-maruyama,cifar10,no,imputation,no,2.0,0.10169,160.44844,1.6914
vp-cos,exponential,cifar10,no,imputation,no,2.06,0.10169,165.41248,1.54772
vp-cos,ode,cifar10,no,imputation,no,1.93,0.1207,167.88652,1.66046
vp-cos,predictor-corrector,cifar10,no,imputation,no,4.08,0.10343,155.58627,1.63061
svp-lin,euler-maruyama,mnist,no,generate,no,2.0,0.66697,375.42764,1.18723
svp-lin,exponential,mnist,no,generate,no,2.16,0.66697,376.97341,1.0987
svp-lin,ode,mnist,no,generate,no,2.18,0.86362,139.67098,1.0
svp-lin,predictor-corrector,mnist,no,generate,no,3.9,0.67485,380.05016,1.1798
svp-lin,euler-maruyama,mnist,no,imputation,no,1.98,0.66697,318.6117,1.24229
svp-lin,exponential,mnist,no,imputation,no,2.2,0.66697,322.80611,1.26678
svp-lin,ode,mnist,no,imputation,no,1.82,0.86362,261.64238,1.20636
svp-lin,predictor-corrector,mnist,no,imputation,no,4.19,0.67485,318.99744,1.24161
svp-lin,euler-maruyama,cifar10,no,generate,no,1.96,0.05539,407.80013,1.28454
svp-lin,exponential,cifar10,no,generate,no,2.04,0.05539,406.37576,1.0441
svp-lin,ode,cifar10,no,generate,no,1.94,0.07625,404.42076,1.19459
svp-lin,predictor-corrector,cifar10,no,generate,no,3.88,0.05921,405.34703,1.22159
svp-lin,euler-maruyama,cifar10,no,colorize,no,2.37,0.05539,291.22409,1.38573
svp-lin,exponential,cifar10,no,colorize,no,2.25,0.05539,294.16863,1.37656
svp-lin,ode,cifar10,no,colorize,no,1.94,0.07625,199.17413,1.44585
svp-lin,predictor-corrector,cifar10,no,colorize,no,4.19,0.05921,289.25433,1.43833
svp-lin,euler-maruyama,cifar10,no,imputation,no,1.95,0.05539,217.48566,1.56931
svp-lin,exponential,cifar10,no,imputation,no,1.99,0.05539,216.44394,1.48464
svp-lin,ode,cifar10,no,imputation,no,1.98,0.07625,186.00746,1.64033
svp-lin,predictor-corrector,cifar10,no,imputation,no,4.3,0.05921,217.54973,1.54086
svp-cos,euler-maruyama,mnist,no,generate,no,2.38,2.25963,387.42838,1.13836
svp-cos,exponential,mnist,no,generate,no,2.49,2.25963,379.9604,1.13625
svp-cos,ode,mnist,no,generate,no,2.22,2.63553,184.63041,1.00693
svp-cos,predictor-corrector,mnist,no,generate,no,4.44,2.25449,385.20129,1.12634
svp-cos,euler-maruyama,mnist,no,imputation,no,2.33,2.25963,306.17333,1.24218
svp-cos,exponential,mnist,no,imputation,no,2.42,2.25963,310.41973,1.29766
svp-cos,ode,mnist,no,imputation,no,2.24,2.63553,275.75793,1.27403
svp-cos,predictor-corrector,mnist,no,imputation,no,4.44,2.25449,318.94604,1.20929
svp-cos,euler-maruyama,cifar10,no,generate,no,2.08,0.10172,394.05506,1.10417
svp-cos,exponential,cifar10,no,generate,no,2.13,0.10172,403.72525,1.03975
svp-cos,ode,cifar10,no,generate,no,2.3,0.12043,353.01186,1.05941
svp-cos,predictor-corrector,cifar10,no,generate,no,4.29,0.10333,420.25222,1.09521
svp-cos,euler-maruyama,cifar10,no,colorize,no,2.48,0.10172,285.58205,1.40432
svp-cos,exponential,cifar10,no,colorize,no,2.61,0.10172,322.7163,1.29423
svp-cos,ode,cifar10,no,colorize,no,2.36,0.12043,176.10559,1.45703
svp-cos,predictor-corrector,cifar10,no,colorize,no,4.93,0.10333,284.96013,1.41493
svp-cos,euler-maruyama,cifar10,no,imputation,no,2.4,0.10172,217.26492,1.55535
svp-cos,exponential,cifar10,no,imputation,no,2.47,0.10172,222.5127,1.46054
svp-cos,ode,cifar10,no,imputation,no,2.26,0.12043,172.30524,1.62765
svp-cos,predictor-corrector,cifar10,no,imputation,no,4.94,0.10333,217.39175,1.60416
